title,url,published,description
Lenalidomide (Revlimid): risk of serious hepatic adverse drug reactions ,https://www.gov.uk/drug-safety-update/lenalidomide-revlimid-risk-of-serious-hepatic-adverse-drug-reactions,2014-12-11,Routine monitoring of liver function now recommended.
Tiotropium delivered via Respimat compared with Handihaler: no significant difference in mortality in TIOSPIR trial ,https://www.gov.uk/drug-safety-update/tiotropium-delivered-via-respimat-compared-with-handihaler-no-significant-difference-in-mortality-in-tiospir-trial,2015-02-16,"Take the risk of cardiovascular side effects into account when prescribing tiotropium delivered via Respimat or Handihaler to patients with certain cardiac conditions, who were excluded from clinical trials of tiotropium (including TIOSPIR)."
Medicines and Healthcare products Regulatory Agency’s staff survey results 2016,https://www.gov.uk/government/publications/medicines-and-healthcare-products-regulatory-agencys-staff-survey-results-2016,2016-12-22,Survey of Medicines and Healthcare products Regulatory Agency staff taken in October 2016
Medicines and Healthcare products Regulatory Agency’s staff survey results 2015,https://www.gov.uk/government/publications/medicines-and-healthcare-products-regulatory-agencys-staff-survey-results-2015,2015-12-02,Survey of Medicines and Healthcare Products Regulatory Agency staff taken in October 2015.
MHRA issues new guidance for people using mental health apps and technologies,https://www.gov.uk/government/news/mhra-issues-new-guidance-for-people-using-mental-health-apps-and-technologies,2026-01-28,"New online resources will help the public, parents, carers and health, social care and education professionals understand what safe, effective digital mental health technologies look like in practice."
Dupilumab in the treatment of children aged 6 to 11 years of age with severe atopic dermatitis (allergic eczema),https://www.gov.uk/government/publications/dupilumab-in-the-treatment-of-children-aged-6-to-11-years-of-age-with-severe-atopic-dermatitis-allergic-eczema,2020-08-17,EAMS scientific opinion issued to Sanofi for dupilumab in the treatment of children aged 6 to 11 years with severe atopic dermatitis (allergic eczema) that is not controlled by medicines applied as creams or ointments to the skin. 
Class 3 Medicines Recall: Lynparza  capsule 50mg (olaparib),https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-lynparza-capsule-50mg-olaparib,2018-03-12,AstraZeneca is recalling batch NG327 as the level of olaparib polymorphic form L exceeds the registered specification limit. As a precautionary measure additional batches are also being recalled (EL(18)A/06)
Traditional Chinese medicines containing lei gong teng (tripterygium wilfordii),https://www.gov.uk/drug-safety-update/traditional-chinese-medicines-containing-lei-gong-teng-tripterygium-wilfordii,2014-12-11,"Risk of serious side effects on fertility, the liver, kidneys, immune system, blood, and heart."
Dabigatran (Pradaxa▼): risk of serious haemorrhage,https://www.gov.uk/drug-safety-update/dabigatran-pradaxa-risk-of-serious-haemorrhage,2014-12-11,Contraindications clarified and reminder to monitor renal function.
α-1 adrenoreceptor antagonists: intraoperative floppy iris syndrome (IFIS),https://www.gov.uk/drug-safety-update/-1-adrenoreceptor-antagonists-intraoperative-floppy-iris-syndrome-ifis,2014-12-11,Cataract surgeons should check past or current use of α-1 adrenoreceptor antagonists for prostatic hypertrophy before surgery.
Immunomodulatory drugs and pregnancy prevention: temporary advice for management during coronavirus (COVID-19),https://www.gov.uk/drug-safety-update/immunomodulatory-drugs-and-pregnancy-prevention-temporary-advice-for-management-during-coronavirus-covid-19,2020-05-21,"Guidance has been published about thalidomide, lenalidomide, and pomalidomide and the use of remote consultations and home pregnancy testing for patients taking them during COVID-19. 
"
Innovation: MHRA advises the Cell Therapy Catapult of regulatory requirements,https://www.gov.uk/government/case-studies/innovation-mhra-advises-the-cell-therapy-catapult-of-regulatory-expectations,2015-07-31,MHRA advises the Cell Therapy Catapult on emerging clinical grade induced pluripotent stem cells bank regulation.
"Class 4 Medicines Defect Information, Syonell 250mg Gastro-Resistant Tablets,(PL 35507/0191), Syonell 500mg Gastro-Resistant Tablets, (PL 35507/0192), EL (21)A/11 ",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-syonell-250mg-gastro-resistant-tablets-pl-35507-slash-0191-syonell-500mg-gastro-resistant-tablets-pl-35507-slash-0192-el-21-a-slash-11,2021-05-04,Lupin Healthcare (UK) Limited has informed us of a discrepancy with the product packaging for several batches of Syonell 250mg Gastro-Resistant Tablets and Syonell 500mg Gastro-Resistant Tablets. This discrepancy relates to the incorrect amount of active pharmaceutical ingredient (valproate semisodium) printed on the outer packaging.
Medicines and Healthcare Products Regulatory Agency’s staff survey results 2014,https://www.gov.uk/government/publications/medicines-and-healthcare-products-regulatory-agencys-staff-survey-results-2014,2014-12-03,Survey of Medicines and Healthcare Products Regulatory Agency staff taken in October 2014.
Fluoroquinolone antibiotics: must now only be prescribed when other commonly recommended antibiotics are inappropriate,https://www.gov.uk/drug-safety-update/fluoroquinolone-antibiotics-must-now-only-be-prescribed-when-other-commonly-recommended-antibiotics-are-inappropriate,2024-01-22,Systemic fluoroquinolones must now only be prescribed when other commonly recommended antibiotics are inappropriate. This follows a review by the MHRA which looked at the effectiveness of current measures to reduce the identified risk of disabling and potentially long-lasting or irreversible side effects.
Atezolizumab in combination with bevacizumab for the treatment of adult patients with unresectable hepatocellular carcinoma who have received no prior systemic therapy,https://www.gov.uk/government/publications/atezolizumab-in-combination-with-bevacizumab-for-the-treatment-of-adult-patients-with-unresectable-hepatocellular-carcinoma-who-have-received-no-prior,2020-06-22,"EAMS scientific opinion given to Roche Products Limited for atezolizumab in combination with bevacizumab for the treatment of adult patients with unresectable hepatocellular carcinoma who have received no prior systemic therapy

"
"Letters sent to healthcare professionals in September 2016, including retigabine withdrawal",https://www.gov.uk/drug-safety-update/letters-sent-to-healthcare-professionals-in-september-2016-including-retigabine-withdrawal,2016-10-17,"A summary of letters sent to healthcare professionals in September 2016, including important information for professionals who specialise in epilepsy treatment regarding the withdrawal from the market of retigabine (Trobalt)."
MHRA trials five innovative AI technologies as part of pilot scheme to change regulatory approach,https://www.gov.uk/government/news/mhra-trials-five-innovative-ai-technologies-as-part-of-pilot-scheme-to-change-regulatory-approach,2024-12-04,"The pilot scheme, AI Airlock, is designed to help test and improve the rules for AI-powered medical devices to ensure they reach patients quickly, safely and effectively. "
Pirfenidone (Esbriet): risk of serious liver injury; updated advice on liver function testing,https://www.gov.uk/drug-safety-update/pirfenidone-esbriet-risk-of-serious-liver-injury-updated-advice-on-liver-function-testing,2020-11-16,"Serious liver injury has been reported during treatment with pirfenidone in the first year after initiation, including 2 cases with a fatal outcome. Measure alanine aminotransferase (ALT), aspartate aminotransferase (AST), and bilirubin levels before starting pirfenidone treatment, monthly for the first 6 months of treatment, and then every 3 months thereafter. Follow new guidance on testing liver function promptly in patients who report symptoms or have clinical signs that might indicate they have liver injury and adjust the dose or discontinue treatment according to new recommendations. "
"Bendamustine (Levact): increased mortality observed in recent clinical studies in off-label use; monitor for opportunistic infections, hepatitis B reactivation",https://www.gov.uk/drug-safety-update/bendamustine-levact-increased-mortality-observed-in-recent-clinical-studies-in-off-label-use-monitor-for-opportunistic-infections-hepatitis-b-reactivation,2017-07-20,Recent clinical trials have shown increased mortality when bendamustine (Levact) was used in combination treatments outside its approved indications. Be aware that the risk of opportunistic infections for all patients receiving bendamustine including those receiving off-label treatment may be greater than previously recognised. Be aware of your responsibilities if prescribing bendamustine outside the licensed indications.
Spironolactone and renin-angiotensin system drugs in heart failure: risk of potentially fatal hyperkalaemia—February 2016 article,https://www.gov.uk/drug-safety-update/spironolactone-and-renin-angiotensin-system-drugs-in-heart-failure-risk-of-potentially-fatal-hyperkalaemia,2016-12-14,Monitoring of blood electrolytes is essential in patients coprescribed a potassium-sparing diuretic and an angiotensin converting enzyme inhibitor (ACEi) or an angiotensin receptor blocker (ARB) for heart failure.
Risdiplam in the treatment of type 1 and type 2 spinal muscular atrophy (SMA) in patients 2 months of age and older,https://www.gov.uk/government/publications/risdiplam-in-the-treatment-of-type-1-and-type-2-spinal-muscular-atrophy-sma-in-patients-2-months-of-age-and-older,2020-09-17,EAMS scientific opinion issued to Roche Products Limited for Risdiplam 0.75 mg/ml powder for oral solution in the treatment of type 1 and type 2 Spinal Muscular Atrophy (SMA) in patients 2 months and older who are not suitable for authorised treatments.
Pharmacies asked to support drug driving campaign,https://www.gov.uk/government/news/pharmacies-asked-to-support-drug-driving-campaign,2014-12-11,The Department for Transport has issued a press release calling on pharmacies to support a new year campaign to help customers understand the changes to drug driving legislation coming into force in March 2015.
IXCHIQ Chikungunya vaccine: updates to restrictions of use following safety review,https://www.gov.uk/drug-safety-update/ixchiq-chikungunya-vaccine-updates-to-restrictions-of-use-following-safety-review,2026-02-11,"Following the completion of a safety review and the recommendations of the Commission on Human Medicines (CHM), the IXCHIQ Chikungunya vaccine is no longer indicated for adults over the age of 60 years, and is contraindicated in all individuals with hypertension, cardiovascular disease, diabetes mellitus, and/or chronic kidney disease. "
Complaints procedure,https://www.gov.uk/government/organisations/medicines-and-healthcare-products-regulatory-agency/about/complaints-procedure,2025-12-11,How to make a complaint about a service provided by the Medicines and Healthcare products Regulatory Agency.
Brolucizumab (Beovu▼): risk of intraocular inflammation and retinal vascular occlusion increased with short dosing intervals,https://www.gov.uk/drug-safety-update/brolucizumab-beovuv-risk-of-intraocular-inflammation-and-retinal-vascular-occlusion-increased-with-short-dosing-intervals,2022-01-18,Maintenance doses of brolucizumab (after the first 3 doses) should not be given at intervals of less than 8 weeks apart. 
Post-implementation Review of the Human Medicines Regulations 2012 (MLX 391),https://www.gov.uk/government/consultations/consultation-on-the-post-implementation-review-of-the-human-medicines-regulations-2012-mlx-391,2017-12-05,We are reviewing the impact of the Human Medicines Regulations 2012 (‘the 2012 Regulations’). This is part of a wider exercise within government to test the impact of legislation five years after implementation. 
New case study shows how MHRA helps Fujifilm future-proof manufacturing facility,https://www.gov.uk/government/news/new-case-study-shows-how-mhra-helps-fujifilm-future-proof-manufacturing-facility,2015-06-29,A new case study is out showing how FUJIFILM Diosynth Biotechnologies (Fujifilm) engaged MHRA early to future-proof mammalian cell culture manufacturing facility.
Early access to medicines scheme (EAMS) scientific opinion: tafamidis for the treatment of transthyretin amyloidosis in adult patients with wild type or hereditary cardiomyopathy to reduce all-cause mortality and cardiovascular-related hospitalisation,https://www.gov.uk/government/publications/early-access-to-medicines-scheme-eams-scientific-opinion-tafamidis-for-the-treatment-of-transthyretin-amyloidosis-in-adult-patients-with-wild-type,2020-03-13,EAMS scientific opinion given to Pfizer Ltd for the treatment of transthyretin amyloidosis in adult patients with wild type or hereditary cardiomyopathy to reduce all-cause mortality and cardiovascular-related hospitalisation.
Off-label intraocular use of recombinant tissue plasminogen activator,https://www.gov.uk/drug-safety-update/off-label-intraocular-use-of-recombinant-tissue-plasminogen-activator,2014-12-11,Risk of intraocular lens opacification.
Class 4 Caution in Use: Actilyse 20mg and 50mg powder and solvent for solution for injection and infusion (alteplase),https://www.gov.uk/drug-device-alerts/class-4-caution-in-use-actilyse-20mg-and-50mg-powder-and-solvent-for-solution-for-injection-and-infusion-alteplase,2016-08-24,"Reports that rubber stopper may be pushed into vial during reconstitution, rendering the vial unusable. (EL (16)A/11)"
Hormone replacement therapy (HRT) and the risk of ovarian cancer,https://www.gov.uk/government/news/hormone-replacement-therapy-hrt-and-the-risk-of-ovarian-cancer,2015-02-13,MHRA statement in response to the study in The Lancet on the use of HRT.
New members sought for the Advisory Board on the Registration of Homeopathic Products,https://www.gov.uk/government/news/new-members-sought-for-the-advisory-board-on-the-registration-of-homeopathic-products,2015-03-24,MHRA is looking for 2 members to the Advisory Board on the Registration of Homeopathic Products (ABRHP).
Submitting changes to labelling and patient information leaflets,https://www.gov.uk/government/publications/submitting-changes-to-labelling-and-patient-information-leaflets,2023-12-22,Guidance on how to submit changes to labelling and patient information leaflets to MHRA.
Direct-acting oral anticoagulants (DOACs): increased risk of recurrent thrombotic events in patients with antiphospholipid syndrome,https://www.gov.uk/drug-safety-update/direct-acting-oral-anticoagulants-doacs-increased-risk-of-recurrent-thrombotic-events-in-patients-with-antiphospholipid-syndrome,2019-06-19,"A clinical trial has shown an increased risk of recurrent thrombotic events associated with rivaroxaban compared with warfarin, in patients with antiphospholipid syndrome and a history of thrombosis. Other direct-acting oral anticoagulants (DOACs) may be associated with a similarly increased risk. "
MHRA issues new guidance on the use of life saving adrenaline auto-injectors,https://www.gov.uk/government/news/mhra-issues-new-guidance-on-the-use-of-life-saving-adrenaline-auto-injectors,2023-06-19,The Medicines and Healthcare products Regulatory Agency (MHRA) has launched new guidance to highlight the latest safety advice on the steps to take during anaphylaxis. This new guidance includes an easy step-by-step guide on what to do in an emergency and provides updated advice on body positioning.
Intraocular lens (IOL) - hydrophilic acrylic - opacification,https://www.gov.uk/drug-device-alerts/medical-device-alert-intraocular-lens-iol-hydrophilic-acrylic-opacification,2014-12-17,(intraocular lens (IOL) - hydrophilic acrylic) opacification of intraocular lens (IOLs) may occur following intracameral use of alteplase. (MDA/2010/008)
Error with the barcodes on selected batches of 8 medicinal products by Focus Pharmaceuticals - Distribute to Pharmacy and Wholesaler level,https://www.gov.uk/drug-device-alerts/error-with-the-barcodes-on-selected-batches-of-8-medicinal-products-by-focus-pharmaceuticals-distribute-to-pharmacy-and-wholesaler-level,2017-09-04,(Focus Pharmaceuticals) Error with the barcodes on selected batches of 8 medicinal products – Class 4 Caution in Use (EL (17)A/08)
Exocin 3mg/ml eye drops - recall of Danish language packs ,https://www.gov.uk/drug-device-alerts/exocin-3mg-ml-eye-drops-recall-of-danish-language-packs,2015-04-23,(Allergan UK Limited) Specific batch including a Danish language pack was shipped to the UK in error. Class 3 – action within 5 days. (EL (15)A/03)
Early access to medicines scheme (EAMS) scientific opinion: avelumab in combination with axitinib for first-line treatment of advanced renal cancer,https://www.gov.uk/government/publications/early-access-to-medicines-scheme-eams-scientific-opinion-avelumab-in-combination-with-axitinib-for-first-line-treatment-of-advanced-renal-cancer,2019-11-04,EAMS scientific opinion given to Merck Serono Ltd in the first-line treatment of adult patients with advanced renal cell carcinoma (RCC).
Field Safety Notice: 09 to 13 December 2019,https://www.gov.uk/drug-device-alerts/field-safety-notice-09-to-13-december-2019,2019-12-16,List of field safety notices (FSNs) from medical device manufacturers from 09 to 13 December 2019.
"Early access to medicines scheme (EAMS) scientific opinion: Atezolizumab in the first line treatment of adult patients with extensive-stage small cell lung cancer, in combination with carboplatin and etoposide",https://www.gov.uk/government/publications/early-access-to-medicines-scheme-eams-scientific-opinion-atezolizumab-in-the-first-line-treatment-of-adult-patients-with-extensive-stage-small-cell,2019-06-24,"EAMS scientific opinion given to Roche Products Limited in the first line treatment of adult patients with extensive-stage small cell lung cancer, in combination with carboplatin and etoposide"
New version of the phase I accreditation scheme to support integration into GCP risk-based inspection,https://www.gov.uk/government/news/new-version-of-the-phase-i-accreditation-scheme-to-support-integration-into-gcp-risk-based-inspection,2015-11-04,A new version of the scheme has been issued to support its integration into the good clinical practice risk-based inspection programme.
Isotretinoin – changes to prescribing guidance and additional risk minimisation measures,https://www.gov.uk/drug-safety-update/isotretinoin-changes-to-prescribing-guidance-and-additional-risk-minimisation-measures,2026-01-22,"The Commission on Human Medicines (CHM) has endorsed changes to the risk minimisation measures for isotretinoin, following a review of the impact of the measures implemented in 2023. We ask healthcare professionals to review these new measures and supporting materials and integrate them into their clinical practice."
Ingenol mebutate gel (Picato▼): increased incidence of skin tumours seen in some clinical studies ,https://www.gov.uk/drug-safety-update/ingenol-mebutate-gel-picato-increased-incidence-of-skin-tumours-seen-in-some-clinical-studies,2019-10-18,"Advise patients treated with ingenol mebutate gel to be vigilant for new skin lesions and to seek medical advice immediately should any occur. Use with caution in patients with a history of skin cancer.
"
Isotretinoin: call for information to be considered as part of an expert review,https://www.gov.uk/government/consultations/isotretinoin-call-for-information-to-be-considered-as-part-of-an-expert-review,2023-04-28,"Call for information to support a review of isotretinoin, a treatment for severe acne. This review is being undertaken by the Medicines and Healthcare products Regulatory Agency with advice from the Commission on Human Medicines and the Isotretinoin Expert Working Group due to concerns about the possible association between isotretinoin and suspected psychiatric and sexual disorders."
Isotretinoin – changes to prescribing guidance and additional risk minimisation measures,https://www.gov.uk/drug-safety-update/isotretinoin-changes-to-prescribing-guidance-and-additional-risk-minimisation-measures,2026-01-22,"The Commission on Human Medicines (CHM) has endorsed changes to the risk minimisation measures for isotretinoin, following a review of the impact of the measures implemented in 2023. We ask healthcare professionals to review these new measures and supporting materials and integrate them into their clinical practice."
"Vitamin B12 (hydroxocobalamin, cyanocobalamin): advise patients with known cobalt allergy to be vigilant for sensitivity reactions ",https://www.gov.uk/drug-safety-update/vitamin-b12-hydroxocobalamin-cyanocobalamin-advise-patients-with-known-cobalt-allergy-to-be-vigilant-for-sensitivity-reactions,2023-12-18,"The medicines used to treat vitamin B12 deficiency (hydroxocobalamin, cyanocobalamin) contain cobalt. There are case reports in the literature describing cobalt sensitivity-type reactions in patients being treated for vitamin B12 deficiency. "
"Mycophenolate mofetil, mycophenolic acid: new pregnancy-prevention advice for women and men",https://www.gov.uk/drug-safety-update/mycophenolate-mofetil-mycophenolic-acid-new-pregnancy-prevention-advice-for-women-and-men,2015-12-14,Mycophenolate mofetil and its active metabolite mycophenolic acid are associated with a high rate of serious birth defects and increased risk of spontaneous abortion.
MHRA asks patients to report without delay any safety problem with their continuous glucose monitor or insulin pump,https://www.gov.uk/government/news/mhra-asks-patients-to-report-without-delay-any-safety-problem-with-their-continuous-glucose-monitor-or-insulin-pump,2024-10-09,The Medicines and Healthcare products Regulatory Agency (MHRA) is asking patients who use a continuous glucose monitor (CGM) or insulin pump to report any safety problem with their device through the MHRA Yellow Card scheme without delay.
Emollients and risk of severe and fatal burns: new resources available ,https://www.gov.uk/drug-safety-update/emollients-and-risk-of-severe-and-fatal-burns-new-resources-available,2021-05-20,"We inform healthcare professionals of the recent campaign to promote awareness of the risk and new resources available to support safe use following previous advice to health and care professionals.
"
All models and lot numbers of silicone gel filled breast implants - unapproved composition of silicone gel ,https://www.gov.uk/drug-device-alerts/medical-device-alert-all-models-and-lot-numbers-of-silicone-gel-filled-breast-implants-unapproved-composition-of-silicone-gel,2014-12-17,(Poly Implant Prothese (PIP)) French medical device regulatory authority (AFSSAPS) found the composition of silicone gel for most breast implants have been different to the one approved since 2001 (MDA/2010/025)
"All anaesthetic breathing systems, anaesthetic machines and anaesthetic ventilators - inadequate ventilation",https://www.gov.uk/drug-device-alerts/medical-device-alert-all-anaesthetic-breathing-systems-anaesthetic-machines-and-anaesthetic-ventilators-inadequate-ventilation,2014-12-17,(All) harm of inadequate patient ventilation and oxygenation could have been avoided if an alternative means of ventilation had been used earlier. (MDA/2010/036)
Fezolinetant▼(Veoza): risk of liver injury; new recommendations to minimise risk,https://www.gov.uk/drug-safety-update/fezolinetantv-veoza-risk-of-liver-injury-new-recommendations-to-minimise-risk,2025-04-10,Fezolinetant treatment is associated with a risk of drug induced liver injury. New recommendations have been introduced to minimise this risk. Liver function should be monitored before and during treatment in all patients taking fezolinetant. Fezolinetant should be avoided in patients with known liver disease or at a higher risk of liver disease.
"Major change for rare disease treatments on way, signals MHRA",https://www.gov.uk/government/news/major-change-for-rare-disease-treatments-on-way-signals-mhra,2025-11-02,New paper sets out UK regulator's intentions to overhaul rulebook for rare disease therapies in UK
Nicobrevin anti-smoking preparation withdrawn from the market,https://www.gov.uk/drug-safety-update/nicobrevin-anti-smoking-preparation-withdrawn-from-the-market,2014-12-11,Risks of Nicobrevin outweigh any benefits.
Hormonal pregnancy tests: call for evidence,https://www.gov.uk/government/calls-for-evidence/hormonal-pregnancy-tests-call-for-evidence,2015-03-25,We are asking the public for evidence about the use of hormonal pregnancy tests and possible adverse effects in pregnancy including birth defects.
Medical Device Alerts issued in July 2018,https://www.gov.uk/drug-safety-update/medical-device-alerts-issued-in-july-2018,2018-08-24,Alerts were recently issued about Novaline haemodialysis bloodlines used with Baxter/Gambro haemodialysis machines and Alaris and Asena enteral syringe pumps 
"Spironolactone and renin-angiotensin system drugs in heart failure: risk of potentially fatal hyperkalaemia—clarification, December 2016",https://www.gov.uk/drug-safety-update/spironolactone-and-renin-angiotensin-system-drugs-in-heart-failure-risk-of-potentially-fatal-hyperkalaemia-clarification,2016-12-13,"In light of feedback, we have clarified our article on concomitant use of these medicines in heart failure."
Our governance,https://www.gov.uk/government/organisations/medicines-and-healthcare-products-regulatory-agency/about/our-governance,2026-02-26,"The main decision-making, executive and managerial bodies at the Medicines and Healthcare products Regulatory Agency (MHRA).
"
Varenicline and suicidal behaviour: cohort study provides some reassurance,https://www.gov.uk/drug-safety-update/varenicline-and-suicidal-behaviour-cohort-study-provides-some-reassurance,2014-12-11,The study found no clear evidence that varenicline was associated with an increased risk of fatal or non-fatal self-harm.
Application route for performance studies under the In Vitro Diagnostics Regulations in Northern Ireland.,https://www.gov.uk/government/news/application-route-for-performance-studies-under-the-in-vitro-diagnostics-regulations-in-northern-ireland,2024-09-19,Submission and approval enabled of the first application for In Vitro Diagnostic devices under the EU IVDR in Northern Ireland due to recent implementation of a submission route for manufacturers for performance studies.
Class 2 Medicines Recall: Bisacodyl 10mg Suppositories EL (19)A/22,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-bisacodyl-10mg-suppositories-el-19-a-22,2019-09-23,Martindale Pharmaceuticals Limited is recalling the above batch due to an issue with homogeneity.
Pause on the use of vaginally inserted surgical mesh for stress urinary incontinence.,https://www.gov.uk/government/news/pause-on-the-use-of-vaginally-inserted-surgical-mesh-for-stress-urinary-incontinence,2018-07-17,The government and NHS have accepted the recommendation from the Independent Medicines and Medical Devices Safety Review to pause the use of vaginally inserted surgical mesh for stress urinary incontinence.
"Cobicistat, ritonavir and coadministration with a steroid: risk of systemic corticosteroid adverse effects ",https://www.gov.uk/drug-safety-update/cobicistat-ritonavir-and-coadminsitration-with-a-steroid-risk-of-systemic-corticosteroid-adverse-effects,2016-12-14,Coadministration of a corticosteroid with an HIV-treatment-boosting agent may increase the risk of adrenal suppression due to a pharmacokinetic interaction. 
Diazepam 2mg Tablets - does not comply with the required specification,https://www.gov.uk/drug-device-alerts/drug-alert-diazepam-2mg-tablets-does-not-comply-with-the-required-specification,2014-12-17,(Teva UK Limited) results of assays carried out during routine stability studies did not comply with the required specification – class 3 action within 5 days. (EL 13(A)11)
Multiple sclerosis therapies: signal of rebound effect after stopping or switching therapy,https://www.gov.uk/drug-safety-update/multiple-sclerosis-therapies-signal-of-rebound-effect-after-stopping-or-switching-therapy,2017-04-24,"Healthcare professionals should report any suspected adverse effects relating to fingolimod (Gilenya▼) or other treatments for multiple sclerosis, including suspected adverse effects occurring after discontinuation, via the Yellow Card Scheme."
Fresenius 5008 & 5008S haemodialysis machines – low risk of inadequate fluid removal during treatment (MDA/2019/018),https://www.gov.uk/drug-device-alerts/fresenius-5008-5008s-haemodialysis-machines-low-risk-of-inadequate-fluid-removal-during-treatment-mda-2019-018,2019-03-29,"
Manufactured by Fresenius Medical – inadequate ultrafiltration can occur due to sudden failure of the ultrafiltration (UF) pump."
"Millions of vaccines to be made in Oxfordshire, and government unveils £50 million fund, in double boost for life sciences",https://www.gov.uk/government/news/millions-of-vaccines-to-be-made-in-oxfordshire-and-government-unveils-50-million-fund-in-double-boost-for-life-sciences,2025-09-24,New Moderna Innovation and Technology Centre opened as government further boosts life sciences sector with £50 million fund.
"Drug alert: recall of Gaviscon Advance Peppermint Flavour, Boots Heartburn Relief Peppermint Flavour, Peptac Peppermint Liquid, and Peptac Liquid Aniseed Flavour",https://www.gov.uk/drug-safety-update/drug-alert-recall-of-gaviscon-advance-peppermint-flavour-boots-heartburn-relief-peppermint-flavour-peptac-peppermint-liquid-and-peptac-liquid-aniseed-flavour,2014-12-11,Batches of this medicine are being recalled from the market because of low levels of microbial contamination.
Strontium ranelate: cardiovascular risk,https://www.gov.uk/drug-safety-update/strontium-ranelate-cardiovascular-risk,2014-12-11,Restricted indication and new monitoring requirements.
Freedom of Information responses from the MHRA - week commencing 12 September 2022,https://www.gov.uk/government/publications/freedom-of-information-responses-from-the-mhra-week-commencing-12-september-2022,2024-01-17,The Medicines and Healthcare products Regulatory Agency (MHRA) responses to freedom of information (FOI) requests for week commencing 12 September 2022.
"Amoxicillin Sodium 250mg, 500g, & 1mg powder for solution for injection - reports of extravasation and injection site reactions",https://www.gov.uk/drug-device-alerts/drug-alert-amoxicillin-sodium-250mg-500g-1mg-powder-for-solution-for-injection-reports-of-extravasation-and-injection-site-reactions,2014-12-17,(Wockhardt UK Ltd) Should not be used in neonates and infants under 1 year old until further notice. (EL (14)A/09)
"Joint NHSE and MHRA conference: Developing Synergies, Promoting Safety",https://www.gov.uk/government/news/joint-nhse-and-mhra-conference-developing-synergies-promoting-safety,2016-01-04,8 February 2016: conference for medical device safety officers (MDSO) and medication safety officers (MSO) to explore key themes in patient safety.
Xenidate XL 36mg prolonged-release tablets (methylphenidate hydrochloride) - incorrect number of tablets in packs from a specific batch,https://www.gov.uk/drug-device-alerts/xenidate-xl-36mg-prolonged-release-tablets-methylphenidate-hydrochloride-incorrect-number-of-tablets-in-packs-from-a-specific-batch,2015-06-29,"(Generics (UK) Limited, trading as Mylan UK) A small number of packs from a specific batch may have an over count or under count of one tablet (EL (15)A/05)."
"Class 2 Medicines Recall: Sandoz Limited, Omeprazole 40 mg Powder for Solution for Infusion, PL 04416/0701 (EL(19)A/34)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-sandoz-limited-omeprazole-40-mg-powder-for-solution-for-infusion-pl-04416-0701-el-19-a-34,2019-11-11,"Sandoz Limited is recalling one batch due to the occurrence of degradation in some vials, resulting in green discoloration of the powder in the vial, leading to increased levels of impurities/degradation products in the medicine."
Designated standards prioritisation,https://www.gov.uk/government/calls-for-evidence/designated-standards-prioritisation,2025-09-04,The MHRA invite feedback on the use of designated standards for medical devices and in vitro diagnostic (IVD) devices to help shape future initiatives.
New MHRA cell therapy research evaluates immune-stimulant cancer therapies to reduce side effects for patients,https://www.gov.uk/government/news/new-mhra-cell-therapy-research-evaluates-immune-stimulant-cancer-therapies-to-reduce-side-effects-for-patients,2023-04-13,"Findings from research by the MHRA have been published, evaluating two different approaches to cancer therapies which harness the immune system to determine which better targets cancer cells and would reduce side effects for patients."
Update on pioneering initiative on regulation and evaluation of digital mental health technologies,https://www.gov.uk/government/news/update-on-pioneering-initiative-on-regulation-and-evaluation-of-digital-mental-health-technologies,2024-05-07,"An MHRA and NICE partnership, funded by Wellcome, is addressing key challenges for regulating and evaluating digital mental health technologies (DMHTs) with input from patients, the public and mental health professionals."
"Dialog+ haemodialysis machines with software versions 9.xx (excluding versions 9.18, 9.1A, 9.1B) – software and hardware upgrade required (MDA/2019/024)",https://www.gov.uk/drug-device-alerts/dialog-haemodialysis-machines-with-software-versions-9-xx-excluding-versions-9-18-9-1a-9-1b-software-and-hardware-upgrade-required-mda-2019-024,2019-06-26,"Manufactured by B. Braun Avitum AG – Malfunction of the temperature sensor can result in temperature of the dialysis fluid to be more than ±1°C outside the programmed values, which can lead to inadequate treatment."
Auxiliary common gas outlet (ACGO) for anaesthetic machine - no fresh gas flow to patient with wrong setting,https://www.gov.uk/drug-device-alerts/medical-device-alert-auxiliary-common-gas-outlet-acgo-for-anaesthetic-machine-no-fresh-gas-flow-to-patient-with-wrong-setting,2014-12-17,(GE Healthcare) accidental incorrect setting of the ACGO switch results in no fresh gas flow to the patient.(MDA/2011/108)
Vimpat▼ (lacosamide) 15 mg/mL syrup: recall due to quality defect,https://www.gov.uk/drug-safety-update/vimpat-lacosamide-15-mg-ml-syrup-recall-due-to-quality-defect,2014-12-11,Recall will begin in September 2011 to allow sufficient time for patients to be switched to suitable alternatives.
MHRA draft guideline on the use of external control arms based on real-world data to support regulatory decisions,https://www.gov.uk/government/consultations/mhra-draft-guideline-on-the-use-of-external-control-arms-based-on-real-world-data-to-support-regulatory-decisions,2025-05-19,We invite feedback on the clarity and wording of our new draft guideline on the use of external control arms based on real-world data to support regulatory decisions.
